block_id,shift
block_1666,572-07
block_1667,601-01
block_1668,601-02
block_1669,601-03
block_1670,601-04
block_1671,605-01
block_1672,605-02
block_1673,608-01
block_1674,608-02
block_1675,608-03
block_1676,608-04
block_1677,609-01
block_1678,610-01
block_1679,610-02
block_1680,610-03
block_1681,611-01
block_1682,611-02
block_1683,664-01
block_1684,664-02
block_1685,664-03
block_1686,664-04
block_1687,704-01
block_1688,704-02
block_1689,704-03
block_1690,706-01
block_1691,706-02
block_1692,722-01
block_1693,722-02
block_1694,722-03
block_1695,722-04
block_1696,902-01
block_1697,902-02
block_1698,903-01
block_1699,904-01
block_1700,904-02
block_1701,904-03
block_1702,917-01
block_1703,918-01
block_1704,937-01
block_1705,948-01
block_1706,102-01
block_1707,102-02
block_1708,102-03
block_1709,102-04
block_1710,102-05
block_1711,104-01
block_1712,104-02
block_1713,104-03
block_1714,105-01
block_1715,105-02
block_1716,107-01
block_1717,107-02
block_1718,107-03
block_1719,111-01
block_1720,112-01
block_1721,112-02
block_1722,112-03
block_1723,112-04
block_1724,116-01
block_1725,120-01
block_1726,120-02
block_1727,120-03
block_1728,120-04
block_1729,121-01
block_1730,121-02
block_1731,122-01
block_1732,122-02
block_1733,122-03
block_1734,122-04
block_1735,123-01
block_1736,123-02
block_1737,123-03
block_1738,123-04
block_1739,123-05
block_1740,123-06
block_1741,123-07
block_1742,124-01
block_1743,124-02
block_1744,124-03
block_1745,124-04
block_1746,124-05
block_1747,124-06
block_1748,124-07
block_1749,125-01
block_1750,125-02
block_1751,125-03
block_1752,125-04
block_1753,125-05
block_1754,125-06
block_1755,125-07
block_1756,127-01
block_1757,128-01
block_1758,128-02
block_1759,128-03
block_1760,128-04
block_1761,128-05
block_1762,128-06
block_1763,128-07
block_1764,128-08
block_1765,130-01
block_1766,130-02
block_1767,130-03
block_1768,130-04
block_1769,130-05
block_1770,130-06
block_1771,132-01
block_1772,132-02
block_1773,132-03
block_1774,132-04
block_1775,132-05
block_1776,132-06
block_1777,132-07
block_1778,133-01
block_1779,133-02
block_1780,133-03
block_1781,134-01
block_1782,134-02
block_1783,135-01
block_1784,135-02
block_1785,135-03
block_1786,138-01
block_1787,138-02
block_1788,138-03
block_1789,138-04
block_1790,138-05
block_1791,138-06
block_1792,139-01
block_1793,139-02
block_1794,139-03
block_1795,139-04
block_1796,139-05
block_1797,139-06
block_1798,139-07
block_1799,139-08
block_1800,139-09
block_1801,140-01
block_1802,140-02
block_1803,144-01
block_1804,144-02
block_1805,144-03
block_1806,144-04
block_1807,144-05
block_1808,144-06
block_1809,144-07
block_1810,144-08
block_1811,144-09
block_1812,144-10
block_1813,148-01
block_1814,148-02
block_1815,148-03
block_1816,148-04
block_1817,148-05
block_1818,149-01
block_1819,151-01
block_1820,151-02
block_1821,151-03
block_1822,151-04
block_1823,153-01
block_1824,153-02
block_1825,153-03
block_1826,153-04
block_1827,155-01
block_1828,155-02
block_1829,155-03
block_1830,155-04
block_1831,156-01
block_1832,158-01
block_1833,158-02
block_1834,158-03
block_1835,160-01
block_1836,160-02
block_1837,160-03
block_1838,161-01
block_1839,162-01
block_1840,162-02
block_1841,162-03
block_1842,162-04
block_1843,164-01
block_1844,164-02
block_1845,164-03
block_1846,164-04
block_1847,164-05
block_1848,164-06
block_1849,164-07
block_1850,164-08
block_1851,164-09
block_1852,168-01
block_1853,168-02
block_1854,169-01
block_1855,169-02
block_1856,169-03
block_1857,169-04
block_1858,169-05
block_1859,169-06
block_1860,169-07
block_1861,169-08
block_1862,169-09
block_1863,169-10
block_1864,169-11
block_1865,171-01
block_1866,171-02
block_1867,173-01
block_1868,173-02
block_1869,173-03
block_1870,173-04
block_1871,173-05
block_1872,173-06
block_1873,173-07
block_1874,173-08
block_1875,173-09
block_1876,174-01
block_1877,174-02
block_1878,174-03
block_1879,174-04
block_1880,174-05
block_1881,174-06
block_1882,174-07
block_1883,174-08
block_1884,174-09
block_1885,175-01
block_1886,175-02
block_1887,176-01
block_1888,179-01
block_1889,179-02
block_1890,179-03
block_1891,179-04
block_1892,179-05
block_1893,179-06
block_1894,179-07
block_1895,179-08
block_1896,179-09
block_1897,179-10
block_1898,179-11
block_1899,179-12
block_1900,179-13
block_1901,179-14
block_1902,179-15
block_1903,180-01
block_1904,182-01
block_1905,182-02
block_1906,182-03
block_1907,182-04
block_1908,182-05
block_1909,182-06
block_1910,182-07
block_1911,182-08
block_1912,182-09
block_1913,182-10
block_1914,182-11
block_1915,189-01
block_1916,189-02
block_1917,189-03
block_1918,189-04
block_1919,189-05
block_1920,189-06
block_1921,189-07
block_1922,191-01
block_1923,192-01
block_1924,192-02
block_1925,192-03
block_1926,192-04
block_1927,192-05
block_1928,192-06
block_1929,192-07
block_1930,194-01
block_1931,194-02
block_1932,194-03
block_1933,194-04
block_1934,194-05
block_1935,194-06
block_1936,194-07
block_1937,194-08
block_1938,194-09
block_1939,194-10
block_1940,194-11
block_1941,194-12
block_1942,194-13
block_1943,194-14
block_1944,194-15
block_1945,194-16
block_1946,194-17
block_1947,195-01
block_1948,195-02
block_1949,195-03
block_1950,195-04
block_1951,195-05
block_1952,198-01
block_1953,198-02
block_1954,199-01
block_1955,199-02
block_1956,199-03
block_1957,199-04
block_1958,199-05
block_1959,199-06
block_1960,199-07
block_1961,199-08
block_1962,200-01
block_1963,200-02
block_1964,202-01
block_1965,202-02
block_1966,203-01
block_1967,203-02
block_1968,203-03
block_1969,204-01
block_1970,204-02
block_1971,204-03
block_1972,204-04
block_1973,204-05
block_1974,204-06
block_1975,207-01
block_1976,207-02
block_1977,207-03
block_1978,209-01
block_1979,210-01
block_1980,211-01
block_1981,211-02
block_1982,211-03
block_1983,211-04
block_1984,212-01
block_1985,214-01
block_1986,214-02
block_1987,214-03
block_1988,215-01
block_1989,215-02
block_1990,217-01
block_1991,217-02
block_1992,218-01
block_1993,218-02
block_1994,218-03
block_1995,219-01
block_1996,220-01
block_1997,220-02
block_1998,221-01
block_1999,221-02
block_2000,222-01
block_2001,222-02
block_2002,223-01
block_2003,223-02
block_2004,224-01
block_2005,225-01
block_2006,225-02
block_2007,225-03
block_2008,225-04
block_2009,227-01
block_2010,227-02
block_2011,227-03
block_2012,228-01
block_2013,228-02
block_2014,229-01
block_2015,229-02
block_2016,229-03
block_2017,229-04
block_2018,230-01
block_2019,230-02
block_2020,232-01
block_2021,232-02
block_2022,233-01
block_2023,233-02
block_2024,234-01
block_2025,234-02
block_2026,235-01
block_2027,235-02
block_2028,235-03
block_2029,238-01
block_2030,238-02
block_2031,238-03
block_2032,238-04
block_2033,239-01
block_2034,239-02
block_2035,240-01
block_2036,242-01
block_2037,243-01
block_2038,244-01
block_2039,244-02
block_2040,244-03
block_2041,245-01
block_2042,245-02
block_2043,247-01
block_2044,248-01
block_2045,248-02
block_2046,248-03
block_2047,248-04
block_2048,249-01
block_2049,249-02
block_2050,249-03
block_2051,249-04
block_2052,249-05
block_2053,250-01
block_2054,253-01
block_2055,253-02
block_2056,253-03
block_2057,254-01
block_2058,254-02
block_2059,254-03
block_2060,255-01
block_2061,255-02
block_2062,257-01
block_2063,257-02
block_2064,258-01
block_2065,258-02
block_2066,259-01
block_2067,259-02
block_2068,260-01
block_2069,260-02
block_2070,262-01
block_2071,264-01
block_2072,265-01
block_2073,267-01
block_2074,267-02
block_2075,268-01
block_2076,268-02
block_2077,269-01
block_2078,269-02
block_2079,269-03
block_2080,269-04
block_2081,269-05
block_2082,270-01
block_2083,272-01
block_2084,273-01
block_2085,274-01
block_2086,274-02
block_2087,275-01
block_2088,275-02
block_2089,277-01
block_2090,277-02
block_2091,278-01
block_2092,278-02
block_2093,278-03
block_2094,279-01
block_2095,280-01
block_2096,283-01
block_2097,283-02
block_2098,283-03
block_2099,284-01
block_2100,285-01
block_2101,285-02
block_2102,288-01
block_2103,288-02
block_2104,290-01
block_2105,290-02
block_2106,293-01
block_2107,293-02
block_2108,295-01
block_2109,295-02
block_2110,297-01
block_2111,297-02
block_2112,298-01
block_2113,298-02
block_2114,299-01
block_2115,300-01
block_2116,300-02
block_2117,300-03
block_2118,300-04
block_2119,300-05
block_2120,300-06
block_2121,301-01
block_2122,301-02
block_2123,301-03
block_2124,301-04
block_2125,301-05
block_2126,301-06
block_2127,301-07
block_2128,301-08
block_2129,301-09
block_2130,304-01
block_2131,304-02
block_2132,304-03
block_2133,304-04
block_2134,304-05
block_2135,304-06
block_2136,304-07
block_2137,304-08
block_2138,304-09
block_2139,304-10
block_2140,304-11
block_2141,304-12
block_2142,304-13
block_2143,304-14
block_2144,304-15
block_2145,304-16
block_2146,307-01
block_2147,307-02
block_2148,307-03
block_2149,307-04
block_2150,307-05
block_2151,307-06
block_2152,307-07
block_2153,310-01
block_2154,310-02
block_2155,310-03
block_2156,310-04
block_2157,310-05
block_2158,310-06
block_2159,310-07
block_2160,310-08
block_2161,317-01
block_2162,317-02
block_2163,317-03
block_2164,317-04
block_2165,317-05
block_2166,337-01
block_2167,337-02
block_2168,337-03
block_2169,337-04
block_2170,337-05
block_2171,337-06
block_2172,405-01
block_2173,405-02
block_2174,405-03
block_2175,420-01
block_2176,420-02
block_2177,433-01
block_2178,433-02
block_2179,475-01
block_2180,475-02
block_2181,503-01
block_2182,503-02
block_2183,503-03
block_2184,503-04
block_2185,503-05
block_2186,503-06
block_2187,503-07
block_2188,503-08
block_2189,503-09
block_2190,511-01
block_2191,511-02
block_2192,511-03
block_2193,511-04
block_2194,511-05
block_2195,511-06
block_2196,511-07
block_2197,511-08
block_2198,511-09
block_2199,513-01
block_2200,513-02
block_2201,513-03
block_2202,513-04
block_2203,513-05
block_2204,513-06
block_2205,513-07
block_2206,513-08
block_2207,572-01
block_2208,572-02
block_2209,572-03
block_2210,572-04
block_2211,572-05
block_2212,572-06
block_2213,572-07
block_2214,601-01
block_2215,601-02
block_2216,601-03
block_2217,601-04
block_2218,605-01
block_2219,605-02
block_2220,608-01
block_2221,608-02
block_2222,608-03
block_2223,608-04
block_2224,610-01
block_2225,610-02
block_2226,610-03
block_2227,611-01
block_2228,611-02
block_2229,662-01
block_2230,662-02
block_2231,662-03
block_2232,664-01
block_2233,664-02
block_2234,664-03
block_2235,669-01
block_2236,669-02
block_2237,669-03
block_2238,704-01
block_2239,704-02
block_2240,704-03
block_2241,706-01
block_2242,706-02
block_2243,722-01
block_2244,722-02
block_2245,722-03
block_2246,722-04
block_2247,902-01
block_2248,902-02
block_2249,904-01
block_2250,904-02
block_2251,904-03
block_2252,917-01
block_2253,937-01
